Cycle 1,,,,Cycle 2,,,,,,,,,,
reduction,,oxidation,,reduction,,oxidation,,,,,,,,
E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),,,,,,,
0.18,1.85E-04,1.16,0.00141,0.13,3.25E-04,1.15,0.00141,,,,,,,
0.17,2.49E-04,1.17,0.00141,0.12,3.52E-04,1.16,0.00141,,,,,,,
0.15,2.97E-04,1.18,0.00141,0.12,3.86E-04,1.17,0.00141,,,,,,,
0.13,3.43E-04,1.19,0.00141,0.11,4.38E-04,1.18,0.00141,,,,,,,
0.11,3.87E-04,1.20,0.00141,0.11,5.22E-04,1.19,0.00141,,,,,,,
0.10,4.45E-04,1.21,0.00141,0.11,6.18E-04,1.20,0.00141,,,,,,,
0.10,5.09E-04,1.22,0.00141,0.11,7.06E-04,1.21,0.00141,,,,,,,
0.09,5.64E-04,1.23,0.00141,0.10,7.54E-04,1.22,0.00141,,,,,,,
0.09,6.28E-04,1.23,0.00141,0.09,7.88E-04,1.23,0.00141,,,,,,,
0.09,6.87E-04,1.24,0.00141,0.08,8.10E-04,1.24,0.00141,,,,,,,
0.08,8.37E-04,1.25,0.00141,0.08,8.95E-04,1.25,0.00141,,,,,,,
0.07,9.61E-04,1.26,0.00141,0.08,9.83E-04,1.26,0.00141,,,,,,,
0.07,0.00104,1.27,0.00141,0.07,0.00108,1.27,0.00141,,,,,,,
0.06,0.00109,1.28,0.00141,0.07,0.00118,1.27,0.00141,,,,,,,
0.06,0.00117,1.29,0.00141,0.07,0.00127,1.28,0.00141,,,,,,,
0.06,0.00126,1.30,0.00141,0.06,0.00133,1.29,0.00142,,,,,,,
0.05,0.00141,1.30,0.00142,0.05,0.00136,1.30,0.00142,,,,,,,
