Cycle 1,,,,Cycle 2,,,
reduction,,oxidation,,reduction,,oxidation,
E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah)
0.62,1.20E-04,1.03,7.22E-04,0.28,5.25E-05,1.03,7.31E-04
0.61,1.24E-04,1.03,7.22E-04,0.27,5.34E-05,1.03,7.32E-04
0.61,1.30E-04,1.04,7.23E-04,0.27,5.44E-05,1.04,7.32E-04
0.60,1.34E-04,1.04,7.23E-04,0.26,5.55E-05,1.04,7.32E-04
0.59,1.43E-04,1.05,7.23E-04,0.26,5.66E-05,1.05,7.32E-04
0.59,1.50E-04,1.05,7.23E-04,0.26,5.75E-05,1.05,7.32E-04
0.58,1.57E-04,1.06,7.23E-04,0.25,5.87E-05,1.06,7.32E-04
0.57,1.63E-04,1.06,7.23E-04,0.25,5.97E-05,1.06,7.33E-04
0.56,1.71E-04,1.07,7.24E-04,0.24,6.09E-05,1.07,7.33E-04
0.55,1.78E-04,1.07,7.24E-04,0.24,6.20E-05,1.07,7.33E-04
0.54,1.84E-04,1.08,7.24E-04,0.23,6.32E-05,1.08,7.33E-04
0.53,1.91E-04,1.08,7.24E-04,0.23,6.44E-05,1.08,7.33E-04
0.52,1.97E-04,1.09,7.24E-04,0.23,6.57E-05,1.09,7.33E-04
0.50,2.04E-04,1.09,7.25E-04,0.22,6.71E-05,1.09,7.34E-04
0.49,2.11E-04,1.10,7.25E-04,0.22,6.84E-05,1.10,7.34E-04
0.48,2.18E-04,1.10,7.25E-04,0.21,6.98E-05,1.10,7.34E-04
0.47,2.25E-04,1.11,7.25E-04,0.21,7.14E-05,1.11,7.34E-04
0.46,2.32E-04,1.11,7.25E-04,0.20,7.39E-05,1.11,7.34E-04
0.45,2.38E-04,1.12,7.26E-04,0.20,7.86E-05,1.12,7.35E-04
0.44,2.45E-04,1.12,7.26E-04,0.20,9.10E-05,1.12,7.35E-04
0.43,2.52E-04,1.13,7.26E-04,0.19,1.03E-04,1.13,7.35E-04
0.41,2.58E-04,1.13,7.26E-04,0.19,1.12E-04,1.13,7.35E-04
0.40,2.65E-04,1.14,7.27E-04,0.18,1.18E-04,1.14,7.35E-04
0.39,2.73E-04,1.14,7.27E-04,0.18,1.24E-04,1.14,7.35E-04
0.38,2.80E-04,1.15,7.27E-04,0.17,1.29E-04,1.15,7.36E-04
0.37,2.87E-04,1.15,7.27E-04,0.17,1.33E-04,1.15,7.36E-04
0.36,2.93E-04,1.16,7.27E-04,0.17,1.38E-04,1.16,7.36E-04
0.35,3.00E-04,1.16,7.28E-04,0.16,1.43E-04,1.16,7.36E-04
0.34,3.06E-04,1.17,7.28E-04,0.16,1.48E-04,1.17,7.37E-04
0.32,3.13E-04,1.17,7.28E-04,0.15,1.53E-04,1.17,7.37E-04
0.31,3.20E-04,1.18,7.28E-04,0.15,1.59E-04,1.18,7.37E-04
0.30,3.26E-04,1.18,7.29E-04,0.14,1.66E-04,1.18,7.37E-04
0.29,3.34E-04,1.19,7.29E-04,0.14,1.74E-04,1.19,7.37E-04
0.28,3.41E-04,1.19,7.29E-04,0.14,1.82E-04,1.19,7.38E-04
0.27,3.49E-04,1.20,7.29E-04,0.13,1.90E-04,1.20,7.38E-04
0.26,3.57E-04,1.20,7.30E-04,0.13,1.97E-04,1.20,7.38E-04
0.25,3.65E-04,1.21,7.30E-04,0.12,2.05E-04,1.21,7.38E-04
0.23,3.74E-04,1.21,7.30E-04,0.12,2.17E-04,1.21,7.39E-04
0.22,3.84E-04,1.22,7.30E-04,0.11,2.32E-04,1.22,7.39E-04
0.21,3.94E-04,1.22,7.31E-04,0.11,2.85E-04,1.22,7.39E-04
0.20,4.06E-04,1.23,7.31E-04,0.11,3.47E-04,1.23,7.39E-04
0.19,4.44E-04,1.23,7.31E-04,0.10,3.89E-04,1.23,7.39E-04
0.18,4.84E-04,1.24,7.31E-04,0.10,4.17E-04,1.24,7.40E-04
0.17,5.07E-04,1.24,7.32E-04,0.10,4.33E-04,1.24,7.40E-04
0.16,5.29E-04,1.25,7.32E-04,0.09,4.46E-04,1.25,7.40E-04
0.14,5.52E-04,1.25,7.32E-04,0.09,4.56E-04,1.25,7.40E-04
0.13,5.82E-04,1.26,7.32E-04,0.08,4.65E-04,1.26,7.41E-04
0.12,6.11E-04,1.26,7.33E-04,0.08,4.74E-04,1.26,7.41E-04
0.11,6.53E-04,1.27,7.33E-04,0.07,4.88E-04,1.27,7.41E-04
0.10,7.63E-04,1.27,7.33E-04,0.07,5.38E-04,1.27,7.42E-04
0.10,8.85E-04,1.28,7.33E-04,0.07,5.85E-04,1.28,7.42E-04
0.08,9.35E-04,1.28,7.34E-04,0.07,6.53E-04,1.28,7.42E-04
0.07,9.67E-04,1.29,7.34E-04,0.06,6.97E-04,1.29,7.42E-04
0.07,0.00106,1.29,7.34E-04,0.06,7.28E-04,1.29,7.43E-04
0.06,0.00121,1.30,7.35E-04,0.05,7.54E-04,1.30,7.43E-04
0.05,0.00128,1.30,7.35E-04,0.05,7.81E-04,1.30,7.44E-04
