Cycle,Direction,Voltage(V),Specific Capacity (mAh/g),Current(A),status,Electrode Type
1,Discharge,0.1779,55.23620371683928,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1776,55.588026670449715,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1776,55.942686905944115,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1773,56.2973471414385,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1767,56.6520073769329,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.176,57.003830330543344,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1757,57.35849056603774,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1754,57.71315080153214,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1754,58.06781103702653,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1754,58.42247127252094,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1751,58.774294226131374,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1745,59.12895446162577,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1742,59.48361469712017,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1742,59.83827493261456,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1739,60.19293516810896,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1733,60.54475812171939,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1729,60.89941835721379,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1733,61.25407859270818,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1729,61.60873882820258,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1729,61.96056178181303,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1723,62.315222017307434,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.172,62.66988225280183,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1717,63.02454248829621,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1717,63.37920272379061,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1711,63.73102567740106,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1711,64.08568591289546,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1705,64.44034614838985,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1705,64.79500638388424,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1698,65.14966661937864,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1695,65.50148957298907,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1692,65.85614980848348,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1689,66.21081004397787,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1689,66.56547027947228,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1677,66.92013051496667,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.168,67.27195346857711,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.168,67.6266137040715,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1671,67.9812739395659,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1677,68.3359341750603,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1667,68.68775712867074,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1664,69.04241736416513,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1655,69.39707759965953,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1658,69.75173783515393,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1658,70.10639807064832,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1655,70.45822102425876,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1649,70.81288125975317,-0.00014973,CCCV DChg,Calendered
